,uri,name,genres,popularity,followers
0,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",80,2256597
1,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"['chicago rap', 'rap']",96,15344040
2,spotify:artist:5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,"['australian electropop', 'indietronica']",73,838195
3,spotify:artist:1hzfo8twXdOegF3xireCYs,Milky Chance,['german pop'],75,1544160
4,spotify:artist:24DO0PijjITGIEWsO8XaPs,Nora En Pure,"['deep house', 'electra', 'house', 'progressive house', 'swiss pop', 'tropical house']",66,289682
5,spotify:artist:23fqKkggKUBHNkbKtXEls4,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",84,7729283
6,spotify:artist:4WN5naL3ofxrVBgFpguzKo,Rudimental,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",74,1297994
7,spotify:artist:73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",75,3113492
8,spotify:artist:2feDdbD5araYcm6JhFHHw7,Labrinth,"['indie poptimism', 'pop']",80,1729454
9,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",90,45260262
10,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"['electropop', 'pop']",93,50301379
11,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",81,15129441
12,spotify:artist:5D56dZmhE9DgT01XixdHiD,Lagum,"['belo horizonte indie', 'brazilian edm', 'funk carioca', 'nova mpb']",68,683736
13,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",77,3958187
14,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"['pop', 'uk pop']",95,86185409
