,uri,name,genres,popularity,followers
0,spotify:artist:5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,"['australian electropop', 'indietronica']",73,838686
1,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"['east coast hip hop', 'hip hop', 'rap']",86,6622955
2,spotify:artist:0rasA5Z5h1ITtHelCpfu9R,Paul Kalkbrenner,"['electronica', 'german techno', 'leipzig electronic', 'minimal techno', 'tech house']",66,973581
3,spotify:artist:5wMlMjOLeJfS5DfxqGfm83,Jan Blomqvist,"['deep euro house', 'electronica']",58,159445
4,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",89,14690059
5,spotify:artist:1jV311C5ADuBqCPpprsjUp,Klanglos,['dark techno'],47,40102
6,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"['chicago rap', 'rap']",96,15353943
7,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,"['pop', 'r&b', 'uk contemporary r&b']",76,2366675
8,spotify:artist:1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",81,6674038
9,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",100,57875139
10,spotify:artist:2I4hRNCYkPKJQlkoEZKjYx,Monolink,['livetronica'],64,250204
11,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",77,3959075
12,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",90,45273762
13,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",84,20719160
14,spotify:artist:24DO0PijjITGIEWsO8XaPs,Nora En Pure,"['deep house', 'electra', 'house', 'progressive house', 'swiss pop', 'tropical house']",66,289823
15,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",81,2256994
16,spotify:artist:4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,"['alternative r&b', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",65,1245527
17,spotify:artist:4fpTMHe34LC5t3h5ztK8qu,The Carters,"['pop', 'r&b', 'urban contemporary']",59,1221295
18,spotify:artist:6Q192DXotxtaysaqNPy5yR,Amy Winehouse,"['british soul', 'neo soul']",78,7450022
19,spotify:artist:3KedxarmBCyFBevnqQHy3P,Jessie Reyez,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'r&b']",72,1005216
20,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","['hip hop', 'rap']",86,7126886
21,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",81,15131728
22,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,['pop'],92,9079970
23,spotify:artist:5EmEZjq8eHEC6qFnT63Lza,Tinlicker,['progressive house'],71,84932
24,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,"['dance pop', 'pop', 'r&b']",86,29111025
25,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,"['lgbtq+ hip hop', 'pop']",94,6873671
26,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,Aminé,"['hip hop', 'pop', 'portland hip hop', 'rap', 'underground hip hop']",73,1649907
27,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",74,1000175
28,spotify:artist:2vf4pRsEY6LpL5tKmqWb64,Elderbrook,"['house', 'pop dance', 'tropical house']",72,242622
29,spotify:artist:2HPiMwJktBXqakN0hnON2R,Lous and The Yakuza,['belgian pop'],57,145768
30,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",84,8344063
31,spotify:artist:4jGpKAmwvU263l0tUh4xKU,Joris Voorn,"['dutch tech house', 'electronica', 'microhouse', 'minimal techno', 'progressive house', 'tech house', 'techno']",56,127284
32,spotify:artist:73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",75,3113750
