,track_uri,track_name,track_artist,added_at,duration_ms,popularity,album_name,album_release_date,preview_url
0,spotify:track:3W8KAzaYIKsCSGj8q8ltul,Father Ocean - Ben Böhmer Remix,"['Monolink', 'Ben Böhmer']",2021-10-18T16:59:35Z,476192,48,Father Ocean,2018-12-07,https://p.scdn.co/mp3-preview/bd704fc71292e55c898dab17f24e9f89e17607b6?cid=177f383b7c5047d1aaab4bc9a7e22a05
1,spotify:track:2b6Qg13iooGb1LnBFwrtcH,After Earth,['Ben Böhmer'],2021-10-17T15:19:45Z,457301,44,Morning Falls EP,2018-01-05,https://p.scdn.co/mp3-preview/882b30ef349d291f858376000111fcfe8a35b12c?cid=177f383b7c5047d1aaab4bc9a7e22a05
2,spotify:track:6mjN72fXeZwLkCDG7rHH3N,After Earth - Edit,['Ben Böhmer'],2021-10-17T15:19:16Z,238406,49,Morning Falls EP,2018-01-05,https://p.scdn.co/mp3-preview/94b486ab380f9a204f457e3b9bd7cbf565de45b5?cid=177f383b7c5047d1aaab4bc9a7e22a05
3,spotify:track:5kNv1Du0DqYgKkFgXiBRu3,Yours,"['ZHU', 'Arctic Lake']",2021-10-17T00:08:23Z,257734,46,Yours,2021-04-28,https://p.scdn.co/mp3-preview/783dc0dc84f3120c143f86aea00b1ea5e5f86e7d?cid=177f383b7c5047d1aaab4bc9a7e22a05
4,spotify:track:3zQpGaH50HeMjxurMZVF6q,Lifetime (with Ty Dolla $ign & 070 Shake),"['Swedish House Mafia', 'Ty Dolla $ign', '070 Shake']",2021-10-15T01:41:40Z,186805,74,Lifetime,2021-07-19,https://p.scdn.co/mp3-preview/19a577bc12a97e3582fab8a0bee191afa802f744?cid=177f383b7c5047d1aaab4bc9a7e22a05
5,spotify:track:4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"['CKay', 'DJ Yo', ""AX'EL""]",2021-10-13T16:43:25Z,188368,92,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,https://p.scdn.co/mp3-preview/fbbecf458216fefa0e48c4b498fee4f5875ba2fa?cid=177f383b7c5047d1aaab4bc9a7e22a05
6,spotify:track:2g95XDCx4GqcaJPv7TTk8C,Skyscrapers - Hi-Lo Remix,"['Nina Kraviz', 'HI-LO', 'Oliver Heldens']",2021-10-08T22:07:11Z,296368,50,Skyscrapers (Hi-Lo Remix),2021-10-01,https://p.scdn.co/mp3-preview/23215101953bd8997408d772b15ba78ca4573550?cid=177f383b7c5047d1aaab4bc9a7e22a05
7,spotify:track:3ExRfIXdYwYFjRzsCw7L7S,Dancing People Are Never Wrong (Live In Munich) - Mixed,"['Jan Blomqvist', 'The Bianca Story']",2021-10-08T00:21:12Z,283313,22,Disconnected - Live In Munich,2020-08-21,https://p.scdn.co/mp3-preview/c57c49aaf11ad6e30a9ca606131bb59730fdb259?cid=177f383b7c5047d1aaab4bc9a7e22a05
8,spotify:track:7hU3IHwjX150XLoTVmjD0q,MONEY,['LISA'],2021-10-06T22:07:03Z,168227,90,LALISA,2021-09-10,https://p.scdn.co/mp3-preview/01c7b7f27476d536db6436bd3a7e1c0fbfc8ba2f?cid=177f383b7c5047d1aaab4bc9a7e22a05
9,spotify:track:6QcU4iwfLjjsrW7zsqyc1D,The Space In Between - Ben Böhmer Remix,"['Jan Blomqvist', 'Ben Böhmer']",2021-10-04T23:07:58Z,253812,54,The Space In Between (Ben Böhmer Remix),2018-06-29,https://p.scdn.co/mp3-preview/2887027c83d809f991ad0d41fe1612b5363a7ecf?cid=177f383b7c5047d1aaab4bc9a7e22a05
10,spotify:track:64uiYolN19fGGFrXn3Su94,Dancing People Are Never Wrong - Extended Mix,"['Jan Blomqvist', 'The Bianca Story']",2021-10-04T23:07:55Z,440748,21,Dancing People Are Never Wrong,2016-08-18,https://p.scdn.co/mp3-preview/646a6df5515d016d6342e4698dd1805bd3bb3b85?cid=177f383b7c5047d1aaab4bc9a7e22a05
