,track_uri,track_name,track_artist,added_at,duration_ms,popularity,album_name,album_release_date
0,spotify:track:2b6Qg13iooGb1LnBFwrtcH,After Earth,['Ben Böhmer'],2021-10-17T15:19:45Z,457301,44,Morning Falls EP,2018-01-05
1,spotify:track:6mjN72fXeZwLkCDG7rHH3N,After Earth - Edit,['Ben Böhmer'],2021-10-17T15:19:16Z,238406,49,Morning Falls EP,2018-01-05
2,spotify:track:5kNv1Du0DqYgKkFgXiBRu3,Yours,"['ZHU', 'Arctic Lake']",2021-10-17T00:08:23Z,257734,46,Yours,2021-04-28
3,spotify:track:3zQpGaH50HeMjxurMZVF6q,Lifetime (with Ty Dolla $ign & 070 Shake),"['Swedish House Mafia', 'Ty Dolla $ign', '070 Shake']",2021-10-15T01:41:40Z,186805,74,Lifetime,2021-07-19
4,spotify:track:4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"['CKay', 'DJ Yo', ""AX'EL""]",2021-10-13T16:43:25Z,188368,92,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09
5,spotify:track:2g95XDCx4GqcaJPv7TTk8C,Skyscrapers - Hi-Lo Remix,"['Nina Kraviz', 'HI-LO', 'Oliver Heldens']",2021-10-08T22:07:11Z,296368,50,Skyscrapers (Hi-Lo Remix),2021-10-01
6,spotify:track:3ExRfIXdYwYFjRzsCw7L7S,Dancing People Are Never Wrong (Live In Munich) - Mixed,"['Jan Blomqvist', 'The Bianca Story']",2021-10-08T00:21:12Z,283313,21,Disconnected - Live In Munich,2020-08-21
7,spotify:track:7hU3IHwjX150XLoTVmjD0q,MONEY,['LISA'],2021-10-06T22:07:03Z,168227,89,LALISA,2021-09-10
8,spotify:track:6QcU4iwfLjjsrW7zsqyc1D,The Space In Between - Ben Böhmer Remix,"['Jan Blomqvist', 'Ben Böhmer']",2021-10-04T23:07:58Z,253812,54,The Space In Between (Ben Böhmer Remix),2018-06-29
9,spotify:track:64uiYolN19fGGFrXn3Su94,Dancing People Are Never Wrong - Extended Mix,"['Jan Blomqvist', 'The Bianca Story']",2021-10-04T23:07:55Z,440748,21,Dancing People Are Never Wrong,2016-08-18
10,spotify:track:4YiY551vHi6glMtgVxuqAy,c l o s e,['J. Cole'],2021-10-04T21:45:24Z,168763,66,The Off-Season,2021-05-14
11,spotify:track:1yjY7rpaAQvKwpdUliHx0d,Still into You,['Paramore'],2021-10-04T01:19:04Z,216013,80,Paramore,2013-04-05
12,spotify:track:6SpLc7EXZIPpy0sVko0aoU,Misery Business,['Paramore'],2021-10-04T01:19:03Z,211520,76,Riot!,2007-06-11
13,spotify:track:1j8z4TTjJ1YOdoFEDwJTQa,Ain't It Fun,['Paramore'],2021-10-04T01:19:02Z,296520,74,Paramore,2013-04-05
14,spotify:track:0w5Bdu51Ka25Pf3hojsKHh,Hard Times,['Paramore'],2021-10-04T01:18:56Z,182693,73,After Laughter,2017-05-12
15,spotify:track:7epRJJqKxeYCaynjkMXKya,Me Felicito,['Natti Natasha'],2021-10-03T23:49:39Z,201386,53,NATTIVIDAD,2021-09-24
16,spotify:track:6vjbtMGvDP74WAiwyzYzlF,Noches en Miami,['Natti Natasha'],2021-10-03T22:52:13Z,154813,58,NATTIVIDAD,2021-09-24
17,spotify:track:6qiPrJwiT5BHKeGPF11cTO,Frozen,['Natti Natasha'],2021-10-02T17:26:10Z,220920,55,NATTIVIDAD,2021-09-24
18,spotify:track:4A4EI3YNaHhDiAgpQlCZkk,Kiss U Right Now,['Duckwrth'],2021-09-30T00:30:49Z,194776,64,SuperGood,2020-08-21
19,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),"['Drake', '21 Savage', 'Project Pat']",2021-09-29T00:47:02Z,242965,92,Certified Lover Boy,2021-09-03
20,spotify:track:6tr6I3YJnHUqKHfJXnm4jk,All I Know,['EDX'],2021-09-28T16:59:25Z,148801,49,All I Know,2017-04-10
21,spotify:track:6P3PZYn8l4kQWI6aGLZzez,Sirens - Extended Version,['Monolink'],2021-09-28T01:22:34Z,402031,46,Sirens,2017-11-24
22,spotify:track:02anWQ0GxinhnvMCR56EQT,Live to Survive - MNEK Remix,"['MØ', 'MNEK']",2021-09-25T19:47:45Z,242810,50,Live to Survive (Remixes),2021-09-17
23,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,['Lil Nas X'],2021-09-21T17:29:08Z,143901,94,MONTERO,2021-09-17
